gene_symbol,sources,confidence,moi,evidence,disease,hgnc_id,in_clinvar
GSTZ1,GenCC,medium,Autosomal recessive,moderate,maleylacetoacetate isomerase deficiency,,False
GSX2,GenCC,medium,Autosomal recessive,moderate,diencephalic-mesencephalic junction dysplasia syndrome 2,,False
GTF2E2,GenCC,medium,Autosomal recessive,strong,"trichothiodystrophy 6, nonphotosensitive",,False
GTF2H5,GenCC,medium,Autosomal recessive,definitive,"trichothiodystrophy 3, photosensitive",,False
GTF3C3,GenCC,medium,Autosomal recessive,strong,neurodevelopmental disorder,,False
GTF3C5,GenCC,medium,Autosomal recessive,strong,neurodevelopmental disorder,,False
GTPBP1,GenCC,medium,Autosomal recessive,strong,neurodevelopmental disorder with characteristic facial and ectodermal features and tetraparesis 1,,False
GTPBP2,GenCC,medium,Autosomal recessive,definitive,Jaberi-Elahi syndrome,,False
GTPBP3,GenCC,medium,Autosomal recessive,definitive,mitochondrial disease,,False
GUCY1A1,GenCC,medium,Autosomal recessive,strong,Moyamoya disease with early-onset achalasia,,False
GUCY2C,GenCC,medium,Autosomal recessive,definitive,intestinal obstruction in the newborn due to guanylate cyclase 2C deficiency,,False
GUCY2D,GenCC,medium,Autosomal recessive,definitive,Leber congenital amaurosis 1,,False
GUK1,GenCC,medium,Autosomal recessive,strong,mitochondrial DNA depletion syndrome,,False
GUSB,GenCC,medium,Autosomal recessive,definitive,mucopolysaccharidosis type 7,,False
GYG1,GenCC,medium,Autosomal recessive,definitive,polyglucosan body myopathy type 2,,False
GYS1,GenCC,medium,Autosomal recessive,definitive,glycogen storage disease due to muscle and heart glycogen synthase deficiency,,False
GYS2,GenCC,medium,Autosomal recessive,definitive,glycogen storage disorder due to hepatic glycogen synthase deficiency,,False
GZF1,GenCC,medium,Autosomal recessive,strong,Larsen syndrome,,False
H6PD,GenCC,medium,Autosomal recessive,strong,cortisone reductase deficiency 1,,False
HAAO,GenCC,medium,Autosomal recessive,definitive,"vertebral, cardiac, renal, and limb defects syndrome 1",,False
HACD1,GenCC,medium,Autosomal recessive,definitive,congenital myopathy,,False
HACE1,GenCC,medium,Autosomal recessive,definitive,spastic paraplegia-severe developmental delay-epilepsy syndrome,,False
HADH,GenCC,medium,Autosomal recessive,definitive,hyperinsulinism due to short chain 3-hydroxylacyl-CoA dehydrogenase deficiency,,False
HADHA,GenCC,medium,Autosomal recessive,definitive,long chain 3-hydroxyacyl-CoA dehydrogenase deficiency,,False
HADHB,GenCC,medium,Autosomal recessive,definitive,mitochondrial trifunctional protein deficiency,,False
HAMP,GenCC,medium,Autosomal recessive,definitive,hemochromatosis type 2B,,False
HARS1,GenCC,medium,Autosomal recessive,strong,Usher syndrome type 3B,,False
